Rank,Name,Birth_Count,Kana
713,史子,105,ノリコ
714,朱美,105,シュビ
715,歩実,105,ホジツ
716,梨花,105,リカ
717,亜樹,104,アジュ
718,絵美子,104,エミコ
719,沙知,104,サチ
720,彩希,104,サイキ
721,明奈,104,メイナ
722,友理恵,104,ユウリケイ
723,悠香,104,ユウカ
724,由里子,104,ユリシ
725,由莉,104,ユリ
726,理香,104,リコウ
727,みか,103,ミカ
728,明恵,103,メイケイ
729,由子,103,ユシ
730,佳澄,102,カイジョウ
731,江美,102,コウビ
732,千聖,102,センセイ
733,美江,102,ビコウ
734,梨菜,102,リサイ
735,ゆりか,101,ユリカ
736,志歩,101,シホ
737,瑞紀,101,ミセキ
738,聖美,101,セイビ
739,早紀子,101,サキコ
740,知代,101,チダイ
741,知穂,101,チスイ
742,美紀子,101,ミキコ
743,由理,101,ユリ
744,愛未,100,アイミ
745,夏紀,100,ナシキ
746,香央里,100,カオリ
747,沙弥,100,サミ
748,紗弓,100,サキュウ
749,千恵子,100,センケイシ
750,奈保子,100,ナホシ
751,麻里絵,100,マリエ
752,亜未,99,アミ
753,公美,99,コウビ
754,美歩,99,ビホ
755,由加,99,ユカ
756,麗奈,99,レイナ
757,愛菜,98,アイサイ
758,広美,98,コウビ
759,桜,98,オウ
760,紗貴,98,サキ
761,章子,98,ショウコ
762,泰子,98,タイコ
763,文音,98,ブンオン
764,瑠衣,98,ルイ
765,みさと,97,ミサト
766,みずほ,97,ミズホ
767,ゆみ,97,ユミ
768,実咲,97,ジツショウ
769,朋香,97,ホウコウ
770,友里絵,97,トモエ
771,友里香,97,ユウリコウ
772,麗美,97,レイビ
773,まゆ,96,マユ
774,愛莉,96,アイリ
775,依里,96,イリ
776,郁子,96,イクコ
777,美恵,96,ビケイ
778,美沙紀,96,ミサキ
779,万里子,96,マンリシ
780,未帆,96,ミハン
781,陽菜,96,ヨウサイ
782,玲美,96,レイミ
783,のどか,95,ノドカ
784,彩那,95,サイナ
785,千恵美,95,センケイビ
786,千奈美,95,センナビ
787,美優,95,ビユウ
788,怜,95,レイ
789,なつ美,94,ナツミ
790,亜沙子,94,アサシ
791,亜紗美,94,アサビ
792,恵梨子,94,ケイリシ
793,慧,94,ケイ
794,菜津子,94,サイシンシ
795,詩乃,94,シナイ
796,珠美,94,シュビ
797,真由香,94,シンユコウ
798,美佐子,94,ミサコ
799,美晴,94,ビセイ
800,佑子,94,ユウシ
801,蓉子,94,ユウコ
802,紗代,93,サダイ
803,千草,93,センソウ
804,百合,93,ヒャクゴウ
805,礼佳,93,レイカ
806,侑里,93,ユウリ
807,沙弥香,92,サミコウ
808,静佳,92,シズカ
809,奈那,92,ナナ
810,美佳子,92,ミカコ
811,有花,92,ユウカ
812,由香利,92,ユコウリ
813,理佐,92,リサ
814,玲菜,92,レイナ
815,礼,92,レイ
816,つかさ,91,ツカサ
817,薫子,91,クンシ
818,元美,91,ゲンビ
819,真耶,91,シンヤ
820,しのぶ,90,シノブ
821,つぐみ,90,ツグミ
822,絢美,90,アヤカ
823,初美,90,ショビ
824,佑果,90,ユウカ
825,愛加,89,アイカ
826,花織,89,カショク
827,沙貴,89,サキ
828,紗矢香,89,サシコウ
829,美子,89,ビシ
830,穂波,89,スイハ
831,里絵,89,リエ
832,和代,89,ワダイ
833,愛華,88,アイカ
834,綾夏,88,リンカ
835,英美,88,エイビ
836,貴恵,88,キケイ
837,実加,88,ジツカ
838,純,88,ジュン
839,真以,88,シンイ
840,瑞恵,88,ズイケイ
841,千愛,88,センアイ
842,知奈美,88,チナビ
843,美喜,88,ビキ
844,佑紀,88,ユウキ
845,英里子,87,エイリシ
846,菜々美,87,ナツミ
847,真愛,87,シンアイ
848,正美,87,セイビ
849,麻由子,87,マユシ
850,未菜,87,ミサイ
851,由佳子,87,ユカコ
852,洋美,87,ヨウミ
853,まりえ,86,マリエ
854,絵理奈,86,エミナ
855,実佳,86,ミカ
856,智奈美,86,トモミ
857,敦美,86,トンビ
858,祐加,86,ユウカ
859,祐美子,86,ユウビシ
860,侑紀,86,ユウキ
861,頌子,86,ショウシ
862,愛奈,85,アイナ
863,育子,85,イクシ
864,結子,85,ケツシ
865,江里子,85,コウリシ
866,晴佳,85,ハルナ
867,忍,85,ニン
868,紗由美,84,サユビ
869,範子,84,ハンコ
870,由貴子,84,ユキシ
871,一恵,83,イチケイ
872,絵里加,83,エミカ
873,智恵子,83,トモエコ
874,美久,83,ビキュウ
875,美来,83,ビライ
876,優貴,83,ユウキ
877,さき,82,サキ
878,ゆりえ,82,ユリエ
879,綾那,82,リンナ
880,恵里佳,82,エリカ
881,彩也香,82,サイヤコウ
882,千華,82,センカ
883,美乃里,82,ビナイリ
884,美妃,82,ビヒ
885,文菜,82,ブンサイ
886,朋代,82,ホウダイ
887,摩耶,82,マヤ
888,怜美,82,レイビ
889,あづさ,81,アズサ
890,ちさと,81,チサト
891,なるみ,81,ナルミ
892,静華,81,セイカ
893,千絋,81,チセン
894,早貴,81,ソウキ
895,日向子,81,ニチコウシ
896,美代子,81,ビダイシ
897,百合恵,81,ヒャクゴウケイ
898,由起,81,ユキ
899,和希,81,ワキ
900,茉里,81,モリ
901,夏季,80,ナシ
902,果歩,80,カホ
903,詩歩,80,シホ
904,実季,80,ミセキ
905,真純,80,マジュン
906,千波,80,センハ
907,奈穂子,80,ナスイシ
908,歩未,80,ホミ
909,有加里,80,ユウカリ
910,侑加,80,ユウカ
911,亜莉沙,79,アリサ
912,琴絵,79,コンエ
913,七海,79,シチカイ
914,美智,79,ミチ
915,芙美,79,フミ
916,麻理子,79,マリシ
917,麻理奈,79,マリナ
918,未樹,79,ミジュ
919,愛恵,78,アイケイ
920,温美,78,オンビ
921,加菜,78,カサイ
922,夏樹,78,カジュ
923,圭,78,ケイ
924,千賀,78,チカ
925,千賀子,78,チカコ
926,南美,78,ナンビ
927,穂菜美,78,スイサイビ
928,麻菜,78,マサイ
929,有理,78,ユウリ
930,由香理,78,ユコウリ
931,伶奈,78,レイナ
932,えみ,77,エミ
933,はづき,77,ハヅキ
934,英里奈,77,エイリナ
935,千智,77,チチ
936,美那,77,ビナ
937,唯香,77,ユイコウ
938,有佳,77,ユカ
939,裕加,77,ユウカ
940,ゆう子,76,ユウコ
941,可南子,76,カナンシ
942,絵理子,76,エリコ
943,琴音,76,キンオン
944,美央,76,ミオ
945,舞衣,76,ブイ
946,李奈,76,リナ
947,亮子,76,リョウシ
948,まり子,75,マリコ
949,みづき,75,ミヅキ
950,亜子,75,アシ
951,幸枝,75,コウシ
952,智香子,75,トモカコ
953,佑衣,75,ユウイ
954,梨香,75,リコウ
955,亜佑美,74,アユウビ
956,伊織,74,イショク
957,佳央里,74,カオリ
958,佳純,74,カナジュン
959,桂,74,ケイ
960,咲季,74,サキ
961,万里奈,74,マンリナ
962,麗子,74,レイシ
963,花奈,73,カナ
964,幸乃,73,コウナイ
965,幸美,73,コウビ
966,紗世,73,サセイ
967,真樹,73,シンジュ
968,瑞貴,73,ズイキ
969,美由希,73,ビユキ
970,文恵,73,ブンケイ
971,莉菜,73,リナ
972,さなえ,72,サナエ
973,愛花,72,アイカ
974,芽依,72,ガイ
975,恵未,72,ケイミ
976,恵利香,72,ケイリコウ
977,恵理奈,72,ケイリナ
978,実花,72,ジツカ
979,美弥,72,ビミ
980,歩惟,72,ホイ
981,万里,72,マンリ
982,夢子,72,ムシ
983,友絵,72,トモエ
984,由佳梨,72,ユカリ
985,裕紀,72,ユウキ
986,夕佳,72,ヨウカ
987,玲香,72,レイカ
988,あおい,71,アオイ
989,あすみ,71,アスミ
990,ちあき,71,チアキ
991,佐織,71,サオリ
992,若奈,71,ジャクナ
993,知実,71,チジツ
994,美沙希,71,ビサキ
995,悠美,71,ユウミ
996,里江,71,リコウ
997,留美,71,リュウビ
998,莉紗,71,リサ
999,霞,70,カ
1000,香保里,70,コウホリ
